customer_id,churn_probability,churn_risk_level
7000842753,0.37493594675266434,Low Risk
7001865778,0.09799403380973,Low Risk
7001625959,0.10157631736875655,Low Risk
7001204172,0.11677065774447196,Low Risk
7000142493,0.04945796616399996,Low Risk
7000286308,0.13617641085522164,Low Risk
7001051193,0.07663085483429083,Low Risk
7000701601,0.0835001295561449,Low Risk
7001524846,0.23681829132033183,Low Risk
7001864400,0.10172018680572692,Low Risk
7000471350,0.2292886969161221,Low Risk
7002006969,0.38659606715543554,Low Risk
7001419799,0.09954915907107836,Low Risk
7002191713,0.07455223555959603,Low Risk
7001654241,0.19990605302128178,Low Risk
7002070365,0.08537995634161503,Low Risk
7000875565,0.08153201650318614,Low Risk
7000187447,0.618110357139438,Medium Risk
7001678155,0.3048111612123025,Low Risk
7001754084,0.21352884269987518,Low Risk
7001028254,0.0443321242406014,Low Risk
7002124215,0.06826941334785706,Low Risk
7001121249,0.8722447346598735,High Risk
7000887461,0.11497433527718655,Low Risk
7001125315,0.07549525362061084,Low Risk
7000852702,0.15917113838923813,Low Risk
7000335166,0.5798696449177145,Medium Risk
7000577351,0.34781005196531906,Low Risk
7001604038,0.10448407523334083,Low Risk
7000039512,0.8927510800665526,High Risk
7001103524,0.32083992751007934,Low Risk
7000033039,0.6072232835777804,Medium Risk
7000382876,0.60092763411615,Medium Risk
7000149764,0.2761734065406263,Low Risk
7002022556,0.3242503206705702,Low Risk
7002108620,0.973334764614965,High Risk
7001146803,0.10470823034216101,Low Risk
7001551667,0.21242975761092253,Low Risk
7000815202,0.10898493250187208,Low Risk
7001638780,0.5537328878875988,Medium Risk
7002409305,0.3363161577187271,Low Risk
7000721289,0.082912374148506,Low Risk
7000933086,0.05272747331300539,Low Risk
7001229868,0.06361753437487455,Low Risk
7002055948,0.054735023254706076,Low Risk
7002388962,0.9731052717286824,High Risk
7001912188,0.1511883037296549,Low Risk
7001482006,0.1693193016427825,Low Risk
7000294396,0.23462030201080086,Low Risk
7000626815,0.10272898411471422,Low Risk
7001398441,0.053359027188879804,Low Risk
7000267378,0.39413997114702687,Low Risk
7001419252,0.43570709519004397,Medium Risk
7002188521,0.09988589032605595,Low Risk
7001957064,0.09166785444258002,Low Risk
7001794818,0.18121220253678455,Low Risk
7002180748,0.08109249722117863,Low Risk
7001682585,0.0945927443717335,Low Risk
7000287796,0.11578858557686333,Low Risk
7000321254,0.06775370384642064,Low Risk
7000955945,0.06337003514839519,Low Risk
7000152517,0.06348783038149829,Low Risk
7000878280,0.15640971159989045,Low Risk
7001129060,0.06727835636835836,Low Risk
7002052689,0.0747945373451621,Low Risk
7001015685,0.18188258107714747,Low Risk
7000293901,0.20281818808021232,Low Risk
7000800341,0.6002366350793026,Medium Risk
7000181022,0.1446365658909788,Low Risk
7002393996,0.45555968696314786,Medium Risk
7000338256,0.09280127630199596,Low Risk
7002366469,0.18321132975595558,Low Risk
7002306819,0.06531985386577466,Low Risk
7002402996,0.1134325508491438,Low Risk
7001532600,0.1885996433572852,Low Risk
7001707835,0.06997820089437265,Low Risk
7001403963,0.14445859979897865,Low Risk
7001328263,0.14518021871795111,Low Risk
7000623124,0.22733320022474288,Low Risk
7001942902,0.4538998175510804,Medium Risk
7001476329,0.12782822429653018,Low Risk
7000877175,0.20298807011321798,Low Risk
7002001667,0.15482955448894511,Low Risk
7000461616,0.6845529596989429,Medium Risk
7001576437,0.3774312683970123,Low Risk
7001590233,0.6620247647978851,Medium Risk
7000175867,0.8203067389360365,High Risk
